written;hostname;services;procedure;stratos
no;HACMP_EAS_SAP_FA1;Process_spawner;http://monitoring-dc.app.corp/kb/system:aix:process:;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FA1;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FA1;SSH;http://monitoring-dc.app.corp/kb/monitoring:ssh;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;DB2_Bufferpool;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_bufferpool;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;DB2_Status;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_status;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Gateway;http://monitoring-dc.app.corp/kb/system:aix:gateway;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;HACMP;http://monitoring-dc.app.corp/kb/system:hacmp;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;NFS_Share_Archives_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;NFS_Share_Data_interface_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;NFS_Share_EDI_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;NFS_Share_Usr_sap_trans_availability;http://monitoring-dc.app.corp/kb/app:fcs:prod:nfs_share;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_DB2_FC1_log_dir_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:log_dir_partitions;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_Sap_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sap;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_Sapdata_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sapdata;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_Sapmnt_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sapmnt;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_db2_dump_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2dump;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_db2_instance_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_instance;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_db2_software_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_software;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_sap_home_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:sap_home;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;Partition_simpana_arch_used_space;http://monitoring-dc.app.corp/kb/app:fcs:prod:simpana_arch;OP_SYSTEM_UNIX, OP_FR_PILOTS
no;HACMP_EAS_SAP_FC1_DB;Partitions_free_space;http://monitoring-dc.app.corp/kb/system:aix:partition:;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;SAP_Status;http://monitoring-dc.app.corp/kb/app:fcs:prod:sap_status;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FC1_DB;SSH;http://monitoring-dc.app.corp/kb/monitoring:ssh;OP_SYSTEM_UNIX, OP_FR_PILOTS
yes;HACMP_EAS_SAP_FE1;DB2_Status;http://monitoring-dc.app.corp/kb/app:fcs:prod:db2_status;OP_SYSTEM_UNIX, OP_FR_PILOTS
